Classiques du Rap Français,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,La Boulette (Génération nan nan),1Vf09Cxf2jqSkU6sfueYAq,Diam's,6379rD5bSEwInazkKhZ9DM,Dans Ma Bulle,1ZlqqgXvzlq8kZBKsY0hWO,61,https://p.scdn.co/mp3-preview/4a9d523b5cdc9e128f88b7aebf974cefd04f39c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Petit frère,3jqBLwtTiUYismDiZgAgPE,Iam,56Q6weEROZ1RsVrTak8Bm7,L'école du micro d'argent,3atPIVCVIIgak6KeB1ANnK,58,https://p.scdn.co/mp3-preview/6b1dfff91a659283a7abf031ed1603b7c845af9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Samuraï,16etD0jjMNdKsHByc48tOY,Shurik'n,1ZjPqYngrwDa5ZqwAPcj5o,Où je vis,18bO6rRcxQ7RrKl9hnJfuW,54,https://p.scdn.co/mp3-preview/91b51b1d5efd225a980767fe7a5fa726d2dcaf26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Les princes de la ville,4zu2xquA7ZcrjPZylino4Z,113,5nTMNNNwQMoCYgzUXdUaB6,Classics du rap français,5l2SmT405p4eX3IFosyH01,1,not available
16,N°10 - Single Version,3wBnEsxkTABwvl32tpZBsj,Booba,58wXmynHaAWI5hwlPZP3qL,Panthéon,2dCUtmJ3qBS5nP2maHsGAf,2,not available
17,Molotov 4,6IIFlVTXXhVbfp1N3xjBCZ,Sefyu,2OULCPo7k0vPKlEZimhaVc,Suis-Je Le Gardien De Mon Frere?,5qxgkjueBOPaDFS9LinqNB,1,not available
18,Laisse pas traîner ton fils,19wTIVLYwubMX8XZppB6lH,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Suprême NTM,3eG7SaLEdlmKLapewG6m4J,47,https://p.scdn.co/mp3-preview/828a5bacfbf2656c3580a4c133e3d079e8e80975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Bad Boys de Marseille (feat. Shurik'n) - Part 2,5q0tqXhUKqwBxissPvia6X,Akhenaton,4ddg7PH5OuSossiSBWgueu,Double Chill Burger (Best of),1zK7QIHZVnGQqhlxqe7rI4,47,https://p.scdn.co/mp3-preview/3f5ef320f640c866fb57a712c4c74f4a2b0831de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Banlieusards,461K9NwFNjnyZBtrn1EIlo,Kery James,5ydAcIK2KdpBIbL0yGFJle,Banlieusards,2DTuHdlwyaDJyNW2uUygGv,0,not available
21,Boulbi,5NfigFlUBUEBgMFOq1rfkB,Booba,58wXmynHaAWI5hwlPZP3qL,Ouest Side,3yT2JhKAfo78iIqgEkZNVw,55,not available
22,"Demain, c'est loin",4C4tuRmDTMz875IFJiqIpy,Iam,56Q6weEROZ1RsVrTak8Bm7,Anthologie IAM (1991-2004),2jEJLiF5RE2JSCju5x6Avw,1,not available
23,Ma Benz (feat. Lord Kossity),4G01edX97eZlCmEbYewboU,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Suprême NTM,3eG7SaLEdlmKLapewG6m4J,50,https://p.scdn.co/mp3-preview/f1effd558c0e7c46c8d9fd12257d40fc6fd45d19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,On pense tous monnaie monnaie,1ZPo5rGRZr5z8sjvMjTTVc,Scred Connexion,5ZtIEcmzQosu8SDKWgwc86,Du mal à s'confier,0JtvUSVT3yaGeXCkz4R6dZ,45,https://p.scdn.co/mp3-preview/ea9e9f1c23e4cf0b36697d807b8ccbb35a495333?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Regretté,6W1MYXhhqO5IuIovuXp7Na,Rohff,32UhRcgdXO6LdLhOpfIdxp,Au-Delà De Mes Limites,75ATPVeLbZcI8awnPVNAqK,46,https://p.scdn.co/mp3-preview/c6cd21d90b177d0a532359514ce95ff91dd8de0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Repose en paix,3SDWrm6cXovs8niVwovPfe,Booba,58wXmynHaAWI5hwlPZP3qL,Temps Mort,4ZzEzKOvjm8AZxPb1iQaZd,0,not available
27,Sans rémission,7njnsewQzFssYI6F1RGwhn,Fonky Family,1BTmMBPzv3zEO3f6ilFoct,Si Dieu veut....,7faOppIh2FNdRrHjhXw7ql,46,https://p.scdn.co/mp3-preview/83db6cc31e5446b7a2c158623791d6080947baa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,La fièvre,0t4J6vsfIb5wtYcSdht9yy,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Paris sous les bombes,6JebPktdIx7M8WzADPZaD8,50,https://p.scdn.co/mp3-preview/3e63069a296331221b26134c34b23ca993dc8294?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,L'enfant seul,3hR6FtDMsgTIO3a4VIucIK,Oxmo Puccino,44bvfFf9VeGwVjK0QDqQ7O,Opera Puccino,1j19ltx8inseOGYmKaLO5Q,1,not available
30,La Puissance,1cWxCvep4soXYHkXDmJpSg,Rohff,32UhRcgdXO6LdLhOpfIdxp,Au-Delà De Mes Limites,75ATPVeLbZcI8awnPVNAqK,53,https://p.scdn.co/mp3-preview/46e926febec3d049eb5723da9be84a5cdec249db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Je danse le Mia,3vTgQBHiLsJ40XpQlQxlhG,Iam,56Q6weEROZ1RsVrTak8Bm7,Anthologie IAM (1991-2004),2jEJLiF5RE2JSCju5x6Avw,8,not available
32,Patate de forain,2VMzuaMP2YP6F0xIA4hoch,Seth Gueko,5SZayIKDZvxXaJrxLfnIRN,Barillet plein,1uPOLMHkIj1AUWfEiCHyUv,48,https://p.scdn.co/mp3-preview/3272d7eaa71c5c2d6c59e9dff3e389ec38fe2b7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Garde la pêche,4PY22DbHm8KvhG2BKxQybo,Booba,58wXmynHaAWI5hwlPZP3qL,Ouest Side,3yT2JhKAfo78iIqgEkZNVw,50,not available
34,Respect (feat. Vinia Mojica),2uMb8n60MeFa6bjjjCzL49,Alliance Ethnik,2dZM3D9rBveK3dywr1WQkN,Simple Et Funky,73WyrLGzIT98p72VVYUY0Q,57,https://p.scdn.co/mp3-preview/95102ea9050702cdf9e96f0811c96c9dbf8aa5d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Art de rue,6Xo7NrY0dDj6pQQ2XIph1Y,Fonky Family,1BTmMBPzv3zEO3f6ilFoct,Art de rue,3vm7lXWJ4HxzKEVZ6hhg8o,49,https://p.scdn.co/mp3-preview/511557c1f3386cacd3569263d797e6f3f1da423f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Nés sous la même étoile,66ZtqKhYSA8XyPr0aAUFsm,Iam,56Q6weEROZ1RsVrTak8Bm7,L'école du micro d'argent,3atPIVCVIIgak6KeB1ANnK,52,https://p.scdn.co/mp3-preview/30928e55b5c88c50769af85b6a97a85792c5d5c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,La terre est ronde,3IM7zXywZ6sRTtkRjRLxJ8,Orelsan,4FpJcNgOvIpSBeJgRg3OfN,Le chant des sirènes,5GfsaNstrK8rszTX5XYtXU,61,https://p.scdn.co/mp3-preview/07ff9ea25bc6f7d14e1e85b4ef3b459ab10dec00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,That's My People,1RWXFHOJ6XjK8a9pitucrX,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Suprême NTM,3eG7SaLEdlmKLapewG6m4J,47,https://p.scdn.co/mp3-preview/fd47fa0acbce2cd469ca0e7534b4b5455377531a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Le son qui met la pression,76DF3UwkIRBJLNuZdNuK4I,Lunatic,2T94BUd6X8J1G5EfJj3hZr,Mauvais Oeil,6nZsCBcWr6n6ZtmBmdJz96,0,not available
40,Cherche pas à comprendre,0Frv8qzBuCVh6F6nTNenLB,Fonky Family,1BTmMBPzv3zEO3f6ilFoct,Si Dieu veut....,7faOppIh2FNdRrHjhXw7ql,44,https://p.scdn.co/mp3-preview/337da226141649494a0a52601701bdbd8df697e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Retour aux pyramides,0O9ArnwRTo6Ky4Wd7Gdb6E,X-Men,0u8fuhFdG3E8WKsqQXy63B,Ma 6-t va crack-er (Edition spéciale 10 ans),6901v9WqjLiVj45rJEagkU,39,https://p.scdn.co/mp3-preview/c5077db2fd60e66a11a8f10ee7dda626041ba758?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Jeune demoiselle,42apdJFDH65Ew9RVuldbrb,Diam's,6379rD5bSEwInazkKhZ9DM,Dans Ma Bulle,1ZlqqgXvzlq8kZBKsY0hWO,55,https://p.scdn.co/mp3-preview/3cee58ef94d01c04e7a116394ddc65415c31897e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Touche D'espoir,2Nq27QSuOjGZuhCkwdteGM,Assassin,5zbzDats0HBBPuir5QWKWm,Touche D'espoir (Réédition 2005),0C97wD0H0E4ZTBbsBTys9X,38,https://p.scdn.co/mp3-preview/1f78407533dac84c46cf845a9950cf2b88aeed2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Le Crime Paie - Remasterisé En 2006,2lZ2ASijYcN2SX8XUAL7n7,Lunatic,2T94BUd6X8J1G5EfJj3hZr,Hostile Hip Hop,4g7S5MgKfp8d09X98KAUEm,44,https://p.scdn.co/mp3-preview/f1fc423d016a73db93f7844db5a06a0373c9e656?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Aiguisé comme une lame,4JTviRADkTsRQiP2XciEXn,Raggasonic - NTM,6bqUlAEF6W29zSunM9jJxs,raggasonic,2X2celqGIyavwzarmQaPG7,41,https://p.scdn.co/mp3-preview/28eada16a65427010883f0d882a1afc054be2f80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,J't'emmerde,2oHYUp3r57OvTt8ZyH5PDc,MC Jean Gab'1,6IYlGuJXicyjCIGRDNxSlR,Ma vie,4OkLWNLZfLSZEWoIfrgjow,41,https://p.scdn.co/mp3-preview/6fea76cbee95c83d930f3d7a05dc14ab9c7700c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Mon papa à moi est un gangster,230WQfgxWrDowOttZT7Lhq,Stomy Bugsy,6vDYFCXQbWPqlUEyBaVbMW,Le calibre qu'il te faut,5IuN6I7Al7EaSNEhlE2SMe,46,https://p.scdn.co/mp3-preview/09084d794ed3abb763b3f4024144971c3eda7155?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Sérieux Dans Nos Affaires,0ujIRGcWdKW9HtukNs9j1Q,Assassin,5zbzDats0HBBPuir5QWKWm,Touche D'espoir (Réédition 2005),0C97wD0H0E4ZTBbsBTys9X,30,https://p.scdn.co/mp3-preview/d6b608ef38a83158c03d4e92e1a1f3138adfed7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Civilisé,1zCFKBMX7lWA3RnRSXEzvi,Lunatic,2T94BUd6X8J1G5EfJj3hZr,Mauvais Oeil,0qc2G99LJTbEeSBuTcVqZ9,0,not available
50,Tout Saigne - Remasterisé En 2006,4YtpY8Hv0bwv84vfvONOwz,La Clinique,47NHcwh7V1kVlxr9Co6k1r,Hostile Hip Hop,4g7S5MgKfp8d09X98KAUEm,43,https://p.scdn.co/mp3-preview/e684e7c07e904aa5a39abd729ad49812a993dee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
