Chilled Pop Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Those Nights,4R06uQw0yBQXWmatdIOlch,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Doom Days,2QzbL1DICo4xZnWr8Sw4fF,69,not available
11,Hate How Much I Love You,2v00WuRHH1WdnXxlHnyURi,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Hate How Much I Love You,14XTLEelUegZgKjQ6XI5oA,71,https://p.scdn.co/mp3-preview/e3ea1416f684310c23fbc6547a01cf2548f75d64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Hurt Again,3JPXFD2aJ4dHPMnGwo41bO,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,Inner Monologue Part 2,2f4Ejh4Po2rpuXSYa6IDCe,73,not available
13,Jesus In LA,5i2JGF65pHKSfMEjSMrBC3,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Jesus In LA,2aygqrnBUbPolcC6H1GUPS,82,https://p.scdn.co/mp3-preview/590ba446b10a2955c178b843e429dca8e8c06eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Slow Dance,5FNS5Vj69AhRGJWjhrAd01,AJ Mitchell,6dn6x1XOng3LOAnfTjUn77,Slow Dance,3tnCAhqSU4V0EEgYnrTRuD,76,https://p.scdn.co/mp3-preview/23a45aa698c2ae20a755154c6459ea527f267efd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Way To Break My Heart (feat. Skrillex),3QILjG9RQzZBtfSd54zzaj,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Way To Break My Heart (feat. Skrillex),1e0B33rcH0vHHumZofYV3y,56,https://p.scdn.co/mp3-preview/019973614fa762562f662100c315022d5109e2bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Lover,0bzbvANY6oETSJLc0wlVGY,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,3rYkgtFOo9AlPaeKTtn6pM,77,not available
17,Love Me Again,4QbX1M5JblYzGTVwdZTgfb,RAYE,5KKpBU5eC2tJDzf0wmlRp2,Love Me Again,0Mz15UUJtdswzlTpPfhPfc,70,not available
18,Bones,3RGvoMBGhoY43FudUpVvqo,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Bones,2umIONJdwiF43nstu1xtpI,65,https://p.scdn.co/mp3-preview/7e2d8ab2c455868f2fcc2a9de484b56c5cc26465?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,July,5a6pdCHlWS2ekOOQ70QnAr,Noah Cyrus,55fhWPvDiMpLnE4ZzNXZyW,July,2YQptVBjUJeIOBavD1AyXg,80,https://p.scdn.co/mp3-preview/b772266fa0e6a75c3d73a816f86098c0a96de110?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Best Part of Me (feat. YEBBA),5ug4vqGZ3eisGhY1IsziNX,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Best Part of Me (feat. YEBBA),6Z5DhADmyybfKNdymaPLjB,79,https://p.scdn.co/mp3-preview/9b06d400381716c72ee93e5d1db73b2e21158e96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Cynic,4W09bDNwiPrOURnbwGLI9j,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Cynic,39I84jaXTLnCf2eGowlXmj,22,not available
22,I Believe,1vYh9x8UmFTLbXiizk9Qc5,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Happiness Begins,1Uf67JAtkVWfdydzFFqNF2,75,not available
23,Takeaway,6wo37KVqFJhtuxPTpLCcfe,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,World War Joy...Takeaway,1JawI0XkEwmQ5Bwef3RMbq,92,https://p.scdn.co/mp3-preview/d6acd39ff853fe8d1fd60603143c60eda0f7f672?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Obvious,571VNc92B31a5QMcE6eCAO,Adam Rom,4oOcOSicmBDeT6JfIWnCbf,Obvious,1WOAdT3PLWzDVWJpNm7nqF,46,not available
25,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Better Half of Me,3qMdA1s9e4FiWOlVFViq20,69,https://p.scdn.co/mp3-preview/399031dc531b563a49779932cac87f9c9f161d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Must Have Been The Wind,1PsMieVYFXrSeXMxuE2SbG,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Must Have Been The Wind,0A5GgdYeE7UJDnBeXuZWma,77,https://p.scdn.co/mp3-preview/68b70525da23fd56860cf53bd7c4d8429e56f4db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Let it Be Me,12PJCkZit47Sr3K705SZIm,Justin Jesso,1QDrz3DMMaz3TB1cm0PGDu,Let it Be Me,2TrHCst807agFlmPDgR7Ta,62,https://p.scdn.co/mp3-preview/8d9acb0bc4c62ca4e71e1e4c454910c306e723a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Seven Seas,6vmXmaxmMv69vNskxdWFJx,Curtis Walsh,1skYjCzZNmy9Zjk7mdFgeS,Seven Seas,7EEBJaDByFeEmiEfFrALwC,53,https://p.scdn.co/mp3-preview/8b45ecb0a067312168d4b1754592d8440b005888?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Lights Up,2plLJpUcYPFrl1sW2pMG63,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Lights Up,4Aag1alBrdk2TFnATVmn8D,87,https://p.scdn.co/mp3-preview/aacbe5176d00ff0ea6cae1977ff71a1ac0d92af1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,The Archer,3Y7MHz19qCg1Pkxridtu1k,Taylor Swift,06HL4z0CvFAxyc27GXpf02,The Archer,2mmpvWHLrUjSu5PN763rUu,70,not available
31,What If,6uPvKfUXdKD6pIVoO4rFaL,Rhys Lewis,4T2k9bgIoC8bbqjqiEl9vZ,What If,3coczD0Xkl7liE9cjvqX3R,66,not available
32,It's You,6moU77g9RQyMzHNuKEaQKq,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,It's You,40vQONzvJb6sKejDN3eWza,93,https://p.scdn.co/mp3-preview/1219afc55c445aa7c2776f6389a361a4fb55b570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Glad He's Gone,6aIAuKNU8JlVaTmoCYYN6U,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Glad He's Gone,4XpTyLPAuao2zSsN6WGR94,73,not available
34,Pick Up Your Phone,4hIppgm5PYoVIoGtCCSJnh,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Pick Up Your Phone,0R4xeAX58W4xrgIQ9OIJ6q,58,https://p.scdn.co/mp3-preview/a612ea34285bc778bcc78d53df16fce7f38c1feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Unconditional,2Z7UF5qoyCU6Ksnf6aTMOs,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Unconditional,40icOTpSW5lDFI2kyYHEkU,56,not available
36,I Don't Know You Anymore - demo,6QSH5lHbiKxOTqc9WSdi09,Sody,01y8iBZYk8aeNfPsuTVrAt,I Don't Know You Anymore (demo),0oEcktTBdE01o80o1ZSFsO,58,https://p.scdn.co/mp3-preview/579a6a753a202f5e7a55e35cdd725f94c53c4a7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,I Wish You Knew,60Vj9zLAwQUf922DztbFEs,CAGGIE,1heHpKKrCRibu4H4CjNjAD,I Wish You Knew,57jW8WhggnbfKLnKzrfrgc,48,https://p.scdn.co/mp3-preview/dc8ce0242ce86129cb5b5b2637f6da04ed96e872?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Lie,27NaNvlmvOHqTF0VPjuRSD,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,1qZDkipk2XWaJ6aoEvJwAm,72,https://p.scdn.co/mp3-preview/218700f7fb105c733f712c66367aaf2649f10dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Wanted,6hLkeOMrhZ2CMLBp2of576,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Wanted,19xtr8RaBkQNaDaNmXnVDj,83,not available
40,Play It Right,3MkhZZkZ6ui6dIMv9NZ45X,KAWALA,58bHgbHOExsHSOGlf0uUkL,Play It Right,5S3EMhCj6Hs6HA7tEMzqEX,54,not available
41,Nothing On You,6kZ3abguPUHM0TVrtlO2Kr,Lily Moore,1SQeTDXO492WB6aFvrntSS,Nothing On You,6pbaswdUATL0b4sU3DyK0o,58,not available
42,One For You - Acoustic,5WrDwOrl330xJzlj3yLAWZ,Blakey,3cqjRMFHyTEbY3Gq1P7sAl,One For You (Acoustic),4oZlF4IU77TmVHTdJJbPp2,49,https://p.scdn.co/mp3-preview/36123d0b6f48a0cf0090f4edb95817e4d53acfe8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Easy,46D0hYb1B7qiU33VtXt21W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Easy,514p9UpvibpBhShFgpZaxS,76,https://p.scdn.co/mp3-preview/c56216be5426c927962636e64f4b67981b06a556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Not Over You,0gr7xzfKDED0mKuv7i5PI7,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Not Over You,4HNgQRfYsHbjnMn5HSpJJa,66,https://p.scdn.co/mp3-preview/0c8b4240deaeea3b757985af1fa16913e99e7985?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Nostalgic,1pBO9JDqh1y3TbCKEO1OvG,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,Nostalgic,1mfUDy3N3YIHDlJp42IKmY,70,https://p.scdn.co/mp3-preview/8bc06c371119076c77c6cc928e4e234943e098f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,More Than Friends,0WkapTWP1Z1kJqxj2Hjzcl,Mokita,3sKeaby6GMSJWgYueZaSjE,More Than Friends,1Ca83ynDRmxxELqdZnmhPH,62,https://p.scdn.co/mp3-preview/c12009b11498de747b7994d78292190c164629b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Waste My Time,1f6fIkTpKjUjwmExW2k2tW,Grace VanderWaal,3YdT8QvV4QvY4DfVJhxdcZ,Waste My Time,2UCr3g97feInYXtl6d84pc,65,https://p.scdn.co/mp3-preview/04cd1afb81b1e65e41da372183a10040dab826e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Come Home To Me,2K8elWg8ihrZRwZJ7Gy6L3,LÉON,4SqTiwOEdYrNayaGMkc7ia,LÉON,4rH2e0qPw9MrwOSdk9rKNe,69,https://p.scdn.co/mp3-preview/32c5a5e057154dd0dc6c99961c05a63a928ef80b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Vienna,60vvMKmrtndqwNfpyG0HS3,Declan J Donovan,6bh228LGC3eAzbplPWV02r,Vienna,5tFRB0wYMQpEesmxdDHswZ,54,not available
50,Lady,3K1vIE8FlvmEy2oCPLQ1UZ,Blake Rose,7wLyGTO9vUS7ndlq4BvBGe,Lady,6d83Yypl0Vd8oJFeAMLlmP,60,https://p.scdn.co/mp3-preview/4c34a0e3d2367e81fa69dc97ac7b23dac54043e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,please,0TzeZppPwhEhySYaNRulr9,Chelsea Cutler,5JMLG56F1X5mFmWNmS0iAp,brent,16mjtcKPxpQ4ajFHmJ0hJC,70,not available
52,Finally Feel Good,1QyxXnQXlGqG28syVg3LyP,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Finally Feel Good,6avkPAfv7cjDlQL4Cotd5S,73,https://p.scdn.co/mp3-preview/95494fbdc79e3b91870d31e26ee7a85cce1e064b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,woozy,2OJpoFLYK2ZZdxbZX7t7ul,kwassa,7hu7hjmIPOtU1S3D8zfBlw,fka kyko EP,08Uz0ACnlwb9o4cdy6ylyN,46,https://p.scdn.co/mp3-preview/c87c1c271a7391d66d225c10ea27d9dbe5766870?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Easy Loving You (with Kamille),2OcQ3jWdw0k7ehTyE12BC0,SG Lewis,0GG2cWaonE4JPrjcCCQ1EG,Dawn,57TxOlFzG9yvAKEdjjm2yB,56,not available
55,Black & Blue,1Y59TyltHoDl4YK2R3nCRm,Nina Nesbitt,7AzjETXRUKNRSJHMW9GIqd,Black & Blue,6UEjnGUIcJjL2uBZJGD3tt,46,https://p.scdn.co/mp3-preview/94cf3c13557059cff2bd86191d5ac3c1e795658c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Where Do You Go,3pil7DXQmpnQcImkoF4wz1,YEBBA,1ooV8YZC1KbpEcrmI8WH0F,Where Do You Go,74SSHu09e4vyHHMGKfw2CL,62,https://p.scdn.co/mp3-preview/870022e7a34f4b3289614707475b7ff8b6586975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,at least i look cool,2eLDUK7EkpENZkDL9O5yhz,Sasha Sloan,4xnihxcoXWK3UqryOSnbw5,at least i look cool,3DrwGrEPG3Rq9mIsZVuklB,70,https://p.scdn.co/mp3-preview/5bbfd72da6747bac053376c4dee31aeca4f09ae3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,61,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Heavy In The Morning,1ERPi46mkhiCL5XmTAdZAc,KAWALA,58bHgbHOExsHSOGlf0uUkL,Heavy In The Morning,6jp1isHMWcqdyXJQPc8fML,48,not available
60,Free Time,0fNLObXT9pvc3VED0oAevd,Ruel,5xkAtLTf309LAGZTbvULBn,Free Time,6b5iXFsc488so2TO4kUHfr,72,https://p.scdn.co/mp3-preview/f8a9ac15e0c92598945e277637253c8ee8c626b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Keeping It In The Dark - From 13 Reasons Why - Season 3 Soundtrack,2XtL4VAqehOQulLpf1sFVF,Daya,6Dd3NScHWwnW6obMFbl1BH,Keeping It In The Dark (From 13 Reasons Why - Season 3 Soundtrack),34kdsqSo8eVjo29lNLBCRl,70,not available
62,Hallelujah,46dLlHs1faMwGvFZP4JMLd,Oh Wonder,5cIc3SBFuBLVxJz58W2tU9,Hallelujah,2DLjxNonCb36p93KPqVcZH,66,not available
63,Edge of My Seat,3D2YipKkGvQM9n0cIWDXrt,LUME,0Fq3mKaCm9ZtVABzgXeicF,Edge of My Seat,6RwbwqDz1NHFYjm7epVmhu,60,https://p.scdn.co/mp3-preview/ade45b61ce71b2cdb7a5f989f7b18dd6cf32d2e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Inside Out,2vnocfBFbXPm4g9gsqquXf,Mokita,3sKeaby6GMSJWgYueZaSjE,Inside Out,1KJOwJ0GGbbGPoOPGf0qda,58,https://p.scdn.co/mp3-preview/63a4cb6cfc90ae85e29e4951d74263859a6e1a21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,The Bones (with Hozier),6HzebUNgGlzC1AMBwHGIkH,72,https://p.scdn.co/mp3-preview/e05874f657064f79368d2db7459c5a0ea8740b45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Kintsugi,2kWcW9mqoCQH9HK9o2K6rc,Gabrielle Aplin,3w6zswp5THsSKYLICUbDTZ,Kintsugi,7gzTeasa0r3UacAMdCYOpW,61,https://p.scdn.co/mp3-preview/dab07be266e445bb52f29c7822ef8455ae000df2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Don't Say,6rHC7eMaQDDpbm29WuuJbe,Robinson,38CvLGTsjtoloDgv3OKQp8,Don't Say,6yYmVFP4TaBffBvA604Ney,60,https://p.scdn.co/mp3-preview/2f5c14b5904434f0bf26cf1fb0bf0a7384d7df5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,All Love,7iv32XEy2HlM7PqQO4lp5f,FLETCHER,5qa31A9HySw3T7MKWI9bGg,you ruined new york city for me,4aGGhfTv8mJ9JAiz8dsa0L,74,not available
69,Something Better,734x5kcTkpSZpsprjOYDNH,Minke,4fTWIwXX49PpfrhxBHfkkw,The Tearoom,1QK0HHI0VhzbCBvFEDSIG0,53,https://p.scdn.co/mp3-preview/8b67a0c4d2098058b408d90682abb4f38b99a209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Shameless,3UYiU57SMiAS5LqolhHJw1,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Shameless,2h1p1JzjT9rLJFAFrIkyrm,87,https://p.scdn.co/mp3-preview/ecbe1041a69343d4ec849876b8f3b2aa71b332a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Heavy,26DKO8CeucmQQRVfbmAV50,Dizzy,0g3BS5QoR5r6pOAg1tvwXv,Heavy,2FtTgLPuriXFkFas3QlMam,23,https://p.scdn.co/mp3-preview/2082726067cd654e0548dab4aec9a6c23314ec9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,If I Can't Have You,1YgGg4W1vikLvgOuWiuodv,Navvy,59uIMi3xrGO0kwfy7Zea24,If I Can't Have You,2naKRuL2DZ7AvZDBJvyPBA,54,https://p.scdn.co/mp3-preview/3f1e9c42ca0aa42801d50dfddfa874a5e2385f2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Handcuffs,3Hjdsmx31RWfuDivCbhU90,Baker Grace,70RgxMmZhLLWxRlbUFQKR2,Handcuffs,2Qh9n866IxRHlynEm61hSY,17,not available
74,Bed,2TRkNw98VCIZBT37oJ7qmC,SYML,6AyATGg7mDgBlZ4N5uNog0,Bed,3H6QLtVQkLSwEKyVc8s8XZ,11,not available
75,Lightweight,4lLTcW4KK2lfP6SzpZSQ9h,Thomston,0VQKssIfRKfSd7IfW3JIP1,Lightweight,53QtdAvZoMZrfwNxqMmBqO,51,https://p.scdn.co/mp3-preview/1ec194160ee3b11b9033e1cb9af7e6599d4628f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Favorite Part Of Me,0cppqb4vQycORHNMxr8DGd,Astrid S,3AVfmawzu83sp94QW7CEGm,Down Low,585s4f9yrPNsp0G7AkTFDF,70,not available
77,Some Say,4poybupy26pTWPr9zY1i7h,Nea,7nqlScm2smydSRl13eaP8E,Some Say,5pCAWYym13GcQN8CXEb89m,74,https://p.scdn.co/mp3-preview/d3ac475db72a68005ee24a616aabb355145f3af2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Sorry for Loving You,7pGVO5MSqbM4XNrbEijLJO,Jack Vallier,2wnHlwpI5kZaXQRGq21UNN,Sorry for Loving You,2G6OyMuEbPKo1As3ySDZnP,52,https://p.scdn.co/mp3-preview/30907b2de76386e850d4d5e187bada5ca835b539?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Swimming Pool,1yO91Oyey81Sjp5kb9O1dw,Millie Turner,53GC8IrnkJXGO7znOiv4tD,Swimming Pool,6mQD5plC1L2DgEtNpH5RUI,50,https://p.scdn.co/mp3-preview/7349dcb4f2a036816c45dc7d554fb6d14f8f750e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,ILLENIUM,45eNHdiiabvmbp4erw26rg,ASCEND,60xcVwuQJAOyu11xf9mObS,78,not available
