Cena con Amigos,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,I Don't Care - Acoustic,1m84zLz4WizjR4mCDoXReg,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (Acoustic),34hxmcDX91rZtwckrSlq1X,76,https://p.scdn.co/mp3-preview/92be55693f9002286062f6fcf4e07cdd2b859c32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,89,not available
13,Lágrimas Negras,4cYr28vZOK1cSXiaefSXkO,Bebo Valdés,3qeECzqe5c7ssusMaDdwbj,Lágrimas Negras,4VOwUaLAK3Ea6tWZzos79U,52,https://p.scdn.co/mp3-preview/9589ed58b42ac5654324f10fd3ac0c690ca2a8b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Woman,0GGxVTb0UwDwdaKNjBdCn3,John Lennon,4x1nvY2FN8jxqAFA0DA02H,Double Fantasy Stripped Down,15q7N7Wo307mfjqR29NpjF,71,not available
15,Águas De Março,1CFpxBiLtcnBVIbnmAJCBk,Antônio Carlos Jobim,3pO5VjZ4wOHCMBXOvbMISG,Antonio Carlos Jobim: Finest Hour,2iBlbJFXs5U3dY8G9UGyTB,10,not available
16,La Flor de la Canela,3AvRiaZZqrMe3lznMui3BM,Maria Dolores Pradera,58LNn3iNPmmHusH1EkyBm4,La Colección Definitiva,62TrSoP03z7TiX3ZXGANGg,37,https://p.scdn.co/mp3-preview/0a9fb6cb2da8367816741544c3d92532240b0f10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Get Lucky - Acoustic,2aXBORgLuv2czaJVyeLOl7,Linn Brikell,0PNyNiPpI6zQnbQyXDPQzu,Get Lucky (Acoustic),7kqflmHaXiCRFSF6gd7wwW,61,https://p.scdn.co/mp3-preview/c0013c68aae2eea68bbbee4343c6e771e0d178e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Penélope Cruz Volver,1uhQ3H3TSDX9Bq9Oz6uHWV,Estrella Morente,5gKJbL392PiokTPUoL7N6D,Mujeres,5oE1VEtOYkkJJiRkZ7KbgB,49,https://p.scdn.co/mp3-preview/cf26ae889693e2df9a2739011180be55d1e80d5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Somewhere Over The Rainbow - Bossa Version,0n2I6f8lJ1BY0vNWPwOA8K,Olga Chung,6UUbraIaaBKQGCZoSOmn0S,Bossa Nova Lounge,2towbkhxHCPKLsyQuealHv,58,https://p.scdn.co/mp3-preview/14a1a6f712cb9ff6a111c607863f1dd978273096?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Amapola,1JW1QpeuA7UAjtzSQxzgxk,Gaby Moreno,0K9pSmFx0kWESA9jqx8aCW,Still The Unkown,7HRTTbRSiCmqcUYeiJtPnJ,40,https://p.scdn.co/mp3-preview/8e6956489213322b3f8ccb21c8352614942202ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,El rincón (Chachachá),53FTMNsJZWS3rnJzHoaugG,Juan Pablo Vega,2PfyKA4qhjkxUVkerTCxz0,Las Olas,0QIv2shOFaPcLZpzydG3k0,45,https://p.scdn.co/mp3-preview/648f64a44bde6a7e7bfbffa1a554f27879877d44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,L-O-V-E - Remastered,0PP5FvPTbe9ksjX5HbwQsi,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,"Ultra-Lounge: Wild, Cool & Swingin' Volume Five",6i6fAWD5fOYlmcDIX8aFmK,44,not available
23,Somethin' Stupid,4feXcsElKIVsGwkbnTHAfV,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,The World We Knew,67Evm6gPc9wFSUf1aXOrKO,70,not available
24,The Scientist,75JFxkI2RXiU7L9VXzMkle,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,A Rush of Blood to the Head,0RHX9XECH8IVI3LNgWDpmQ,84,https://p.scdn.co/mp3-preview/95cb9df1b056d759920b5e85ad7f9aff0a390671?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,One,3PKtemUKxiDBvBo7tpQ8bG,U2,51Blml2LZPmy7TTiAg47vQ,Achtung Baby,3hErePSImi79vYHrSmypGw,25,not available
26,Fui a Buscar al Sol,72q51tZkGZeN92UAHca86o,Maria Rodés,2uCphK8yRHj9DHJmmE5Isf,Eclíptica,7HqkDcXBIrGdvoFXZKYDkX,42,https://p.scdn.co/mp3-preview/74f54c274f7f945b65f06ab8bd882b4ca8b957b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,María la Portuguesa,4UBD68Gl57igC6y1yndIjI,Las Migas,6wWp1JO8wL9qEeVV0TRHY3,Reinas del Matute,6UQCxm8zXegAPpW5FJhfCK,38,https://p.scdn.co/mp3-preview/852f9220343ec8b853b989d932c9783c9b7770eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Tears Dry On Their Own - Acoustic,6ftZrt4wcgSHokKl7ice5y,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Live Acoustic EP,7ahC3nVbClJ8pqASWOIhda,54,https://p.scdn.co/mp3-preview/00e8aeaa6248839f9c242e18ac85da8163a32c2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,"E più ti penso - From ""Once Upon A Time In America""",0xD4CViKIXLz07PDhP36GJ,Andrea Bocelli,3EA9hVIzKfFiQI0Kikz2wo,"E Piu ti penso (From ""Once Upon A Time In America"")",79Hfcb2LIczgK06mqWDbNU,2,not available
30,Is This Love,3c0VB4zRHksX7aUSJ5IXyG,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,The Best of Bob Marley,2EiqmZ6MJK9MghMzqks1DX,4,not available
31,Havana - Bossa Nova,0Tl1pHPHtn8WHMakC5VrVM,Kaysha,2DBaDAcrh5sf17yR1qbnsy,Havana (Bossa Nova),3b3HGOoRb1eTmI6ilMRvWG,53,https://p.scdn.co/mp3-preview/f001f8ce9180cfcb535ffe888535dce88c242e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Killing Me Softly With His Song,6btetw0crEcjUKlQ4RO86f,Roberta Flack,0W498bDDNlJIrYMKXdpLHA,Softly With These Songs The Best Of Roberta Flack,7CotghZUwrLnk49DCJeFGx,13,not available
33,Habaneras de Cádiz,6Mhw12JZfaRullIwuiDrnW,Carlos Cano,3DmpE6oHcvPFhtMTSlLMFB,De Lo Perdido Y Otras Coplas,53XJCziWiXOOrBCmbVLXGC,44,https://p.scdn.co/mp3-preview/d93a95396a0d57702f95ab6a19f4f95120423432?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,(They Long To Be) Close To You,2kyVQg00pphEufGT59M2XH,Carpenters,1eEfMU2AhEo7XnKgL7c304,Close To You,5z8MFnoVUIfVo6MQW0uIul,64,not available
35,El Cuarto De Tula,0NkBKaWhqR1KN67bUPlvYp,Buena Vista Social Club,11kBu957KTYoAltZHDm8gW,Buena Vista Social Club,2Upqk0mMh9OMIVSj9F8Xzw,31,not available
36,En el ultimo trago - con la colaboracion de Chucho Valdes,57ufef2a7mO1RMJJSoP1lw,Buika,1gbXoccc8bjK8eUh92mILy,In my skin,2AlNyn5VlIGCeuWp1NpiXR,25,https://p.scdn.co/mp3-preview/2a2648b11561313d358401761562d9b88aa5112f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Poker Face,2BvUnyMmphVTlwDigM5oss,Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,Poker Face,1np99MsHr0mQzN7RfxAinV,1,not available
38,Quien Sabe,2bhLqV1h7texAwg4uEhBIx,Zenet,2s7td67DdtSXTx2TGzs01i,Soñar Contigo. Una Colección de Sus Grandes Canciones,2NsgXX7zdnsp3Ph6un8S08,40,https://p.scdn.co/mp3-preview/1c5cb2e4dff67e597706e28be90e2573a4cea2f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Ganando el Tiempo,6vcggsPzVC9qWikamING0g,Feten Feten,2jA6wEXprTZysvomP2krp8,Cantables,269SuIWx9DZ7poGQzNVbUD,44,https://p.scdn.co/mp3-preview/70640b046286fb673a450d72233a665b707f25ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Semilla Negra,6G4JJs9bhVt6ndHQBcao6b,Marlango,1sssLDz8bNSqKkW1zndP0D,Selection,2LRLNUHFT5zF12MTSTZmX8,39,https://p.scdn.co/mp3-preview/27f15e6745198bd462d51459044ebd521baad3be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Boa Sorte / Good Luck,1xb4uv25MokAY9xos31WXL,Nelson Freitas,6yWyIM8jA96kl3jlCXpabB,Kizomba Brasil,2Fz12u46WRwemfugwB2S9j,44,https://p.scdn.co/mp3-preview/e41af50bc3726bb3c52b4a4f4bf6993f041fcea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Trompeta y Trombón,7blCmw8CU98pSmvvSXYsUX,Ray Barretto,2h4ndKS2vRWeFLpq8ARu0D,Latino con Soul (West Side Original Remastered),6fzqmTd7d1DqOZhJSBcNJt,10,not available
43,It Ain't Over 'Til It's Over,6VnpKLtfNH4Dk09YSGPSyR,Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,Mama Said,7A3LlV59lh4KljWa7I6Tks,69,not available
44,Chocolat (Swing),42gaDDxNCrQMkri7sQcqGq,Feten Feten,2jA6wEXprTZysvomP2krp8,Bailables,2LXPajOlTfGvlm6jm1oFtW,41,https://p.scdn.co/mp3-preview/429c98ce6237913796eba502282a619c88dda2b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Como Seria,2wVtjY3hYUNo6hru52yZEM,Dino d'Santiago,7qb2GMJaX4HeXqqPPyYdlr,Mundu Nôbu,2lNJ5yRhrfNmLgVWR7TGtw,49,https://p.scdn.co/mp3-preview/e70c78f935810aa71b18ee1809166c0ec2ef6945?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Maria Cristina,6RkiGbfRM1Blo3iXVc98uS,Eliades Ochoa,0hXHTWhBUEpkyHJ0GnghEH,Companeros De Mi Vida,5syN6MvgMAkQDOpYy8mceC,40,https://p.scdn.co/mp3-preview/d1898e995e1e45d14e1d7adad995cee812892dad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Girls Just Wanna Have Fun - Acoustic,7rohDMzsbmSmol7sIZs0Px,The Mayries,38SWPOPO1YqxUPnT4AAoID,Girls Just Wanna Have Fun,1WJCyViZxB0GWgvZicSxKY,64,https://p.scdn.co/mp3-preview/a897c3c025a31a1adf8ce070adcbae785910c090?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,El amor contigo,058K19d3MSe088Cgf3QlN0,Yasmin Levy,1XDkuk3pjmco8Mkd93Qxbu,Sentir,4gxaBylPClHaSjbfuzJA9P,41,https://p.scdn.co/mp3-preview/4622983244c8214d7d59759ed94e1a8227c68167?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,The Blower's Daughter,5yyRH93h4Pm6tXXYTxt7ea,Damien Rice,14r9dR01KeBLFfylVSKCZQ,O,3ADELRoZ4I8WLE7clLU7La,67,https://p.scdn.co/mp3-preview/79091136e250a96d65aaf2858e9708529b4e307b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Vivir sin miedo,55NknKmUtmAoH6iRjAnxOT,Buika,1gbXoccc8bjK8eUh92mILy,Vivir sin miedo,5MCZrSKQgQBwzY6M10gSUG,35,https://p.scdn.co/mp3-preview/86bd45d2c8d063db9d347a943e14ad19c5a4c587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Fly Me To The Moon - Remastered 2008,716ee4WXvayYh2RnB2fN1F,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best (Remastered),54jgcQieeiqZEuA8fb5CsZ,15,not available
52,Só Danço Samba,4Wzym5Rbnn8Ny8rFqEObm1,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz: The Bossa Nova Albums,4TcCL29jgD69v38woQX85i,6,not available
53,How Do You Sleep? - Acoustic,2ZgUlizmH0VmOJzUwDchAf,Sam Smith,2wY79sveU1sp5g7SokKOiI,How Do You Sleep? (Acoustic),0RR2uPlGQKAYXJIXgYNJKE,69,not available
54,Misread,3hxoYmSHzIBwSS2bPTOfbg,Kings of Convenience,41AbNVba2ccpmcc9QtOJE7,Riot On An Empty Street,5QE8eXeN0q8M7atLb1fT6c,61,not available
55,Canção para Ti,3dkuH1tyUBluh19jCDlNiL,Janeiro,6XkMchHBuVhvBzCOyKIlJ0,Fragmentos,4B9Sqim9O9P03MyQV19woO,40,https://p.scdn.co/mp3-preview/28166cd893fe213a0e8fe3f809ed801c882ee7b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,I've Got You Under My Skin - Remastered 1998,3aEJMh1cXKEjgh52claxQp,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Songs For Swingin' Lovers! (Remastered),4kca7vXd1Wo5GE2DMafvMc,69,not available
57,Bad,3xRcQ04b0l5RiU2w7lJhCD,James Bay,4EzkuveR9pLvDVFNx6foYD,Oh My Messy Mind,2aIsEIVLrAP75xdEhdVm1d,74,not available
58,Fly Me To The Moon (In Other Words),3V2SNCBu9A62TmNeWhiygE,Bobby Womack,0vqkz1b2qBkoYrGMj2CUWq,Midnight Mover: The Bobby Womack Story,7eVKCG0KD8FCvIlx8E1pBG,49,not available
59,6000 Miles,3UvcBuqivTJkZgRoLZ09JC,Sara Pi,0laMFy7P4AzMlSDFHf6CuE,6000 Miles,3RKr1pYPqHZaAsh6w8SCxk,32,https://p.scdn.co/mp3-preview/81d9106a69ebaa9ba0f7694287e04325fc3a74c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Blue Perro,534AeQVH660c5ccGZl4m9D,Mastretta,21P0l25d6FxLcW7uNmLcCV,El Reino de Veriveri,7fCNAKfHbPcLGPEGealjlA,25,https://p.scdn.co/mp3-preview/59169fd952b19cd0aa40bc51c7a6b2e5db6b15c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
