Room 2: Urban Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,"“sorry (i Didn’t Know)"" (original Radio Edit)",1ElsvWNXbo3jXs4OuakQLn,Monsta Boy,0YgabnWomkooWIaTM6VOfE,Sorry,2jMkOKyXgCi9NI4dxm4EkN,53,https://p.scdn.co/mp3-preview/c1f79ae79b340bd53139568275dd633b72de85cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,"21 Seconds - 12"" Version",1NOdN5Qoz4GGsVETMHqsMb,So Solid Crew,5Wri8vAevy1yYWqN8oGGpH,21 Seconds,6ECUDYAEmoGA2S38FnVFMc,12,not available
23,U Remind Me,2QsZVnbWVSjKMXK6K3uRBL,Usher,23zg3TcAtWQy7J6upgbUnj,8701,6k16WXh4rKyusIoN00rmpi,74,https://p.scdn.co/mp3-preview/b94b8fba4179746fbb1f23dd124d1aa076f50131?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,In The Morning (Let Your Love Come In) - Original Radio Edit,2M5BecF1hOqHevr4BDRi84,Egypt,4cyCAYJ2i7bt5aUogmGWNN,In The Morning (Let Your Love Come In),0MT0W3eXcBOsBxTRguRnEk,50,not available
25,Always On Time,3J4YoloryJCieZ9kapS1oL,Ja Rule,1J2VVASYAamtQ3Bt8wGgA6,Pain Is Love,019lJMwYCbjeWxhLBQFuPn,11,not available
26,I Wanna Feel - Radio Edit,77jaOS5YDCDGPto5Pomi4h,Secondcity,2ew9JvyyuOGkhahuwdovDq,I Wanna Feel (Radio Edit),68UKcs1Vr4HgREXQ3Dvzrg,59,https://p.scdn.co/mp3-preview/8f17e6bfe4c4308270a1347d7ad2d324e15f9bc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Fill Me In,7pxudg8pAyUxh9wm87qBxR,Craig David,2JyWXPbkqI5ZJa3gwqVa0c,Greatest Hits (Int'l Non-Video),3PZbikHXWxUKNWxHywEQqh,4,not available
28,Señorita,0aj2QKJvz6CePykmlTApiD,Justin Timberlake,31TPClRtHm23RisEBtV3X7,Justified,6QPkyl04rXwTGlGlcYaRoW,67,https://p.scdn.co/mp3-preview/8a246268bbe230983f28a006d7f40286a272c5d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,I Luv U Baby - Radio mix,6J3LHclKrdg1zLArH3kmF4,The Original,2IwjkUrnzXsfgXkvUtZYKH,I Luv U Baby,7LgsDPzNTZGIxAOlzwscrR,55,https://p.scdn.co/mp3-preview/4d744710669bed74f80dc042ae64037c7c2d6fe7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Dilemma,18vdhCWxqPohnPwicDi3Xr,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Nellyville,1kh5XByhI0DDWV7m9kddr0,62,not available
31,Me & U,7k6IzwMGpxnRghE7YosnXT,Cassie,27FGXRNruFoOdf1vP8dqcH,Cassie (U.S. Version),0j1qzjaJmsF1FkcICf3hRu,72,https://p.scdn.co/mp3-preview/af06bccc66a9062aa4655fdd22c151c4ae577a54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,No Letting Go,5dWfl2PBpKHpBVdz95wxK1,Wayne Wonder,3kc5AFnL1TQQdNaMdSW2UO,No Holding Back,3WH8Q7LS2p143e5PrKGLeA,63,https://p.scdn.co/mp3-preview/6dbbbdd3ef30c2292246d582ec64c41060ffab26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Touch The Sky,2pRyjmTGkz5i8xemOtJ7pG,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Late Registration,0Ds6i3h0F9RcYIKAD5Olum,57,not available
34,Sweet Like Chocolate (Radio Edit),3IFVskDtdJTwAZ0I8HGvoO,Shanks & Bigfoot,2HdJwHponT4dLmV57ry159,Sweet Like Chocolate,1PZubkPoodI7JEON9ljzOC,54,https://p.scdn.co/mp3-preview/737bbbd9a5b2a61c52f5f6cb4510b39158405418?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,AM To PM,5bPvKo7mH5ZETLSbdP1oHo,Christina Milian,4eAOcbAXIF4BmbN6E1QIlw,Christina Milian,7wToXNzrsnCiEbH1OGrDRW,55,not available
36,Sunshine - Wookie Main Mix,5q1hpdlf8ncJUhKLyjHoHB,Gabrielle,7rftfGIYEeZ79sLb58ZBDi,Rise,2R6V1HDBBgRxfu469y6V6R,47,not available
37,Shackles (Praise You),7JKEA8xYDoFp4q0QBW2PGg,Mary Mary,12Kgt2eahvxNWhD5PnSUde,Go Get It,20bME4IGNpUBm1Rk3TzuP9,60,https://p.scdn.co/mp3-preview/19566deed7192b63f3634d8954e1c71da0bbda1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Gold Digger,3QHPHLAkYV5cQBUYs6rowx,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Late Registration,0Ds6i3h0F9RcYIKAD5Olum,64,not available
39,What's Luv? (feat. Ja-Rule & Ashanti),2mKouqwAIdQnMP43zxR89r,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,Jealous Ones Still Envy (J.O.S.E),6vMgb2mih3pPiWUxF8VEdI,74,https://p.scdn.co/mp3-preview/1ab4e265221ece1b9a6ba722d1430bd070825221?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Ride Wit Me,5x2TDyeeTpf0riUoQDrvsV,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Best Of Nelly,7kL2kX4AeR1eUR9bz2mbNe,62,not available
41,Look Right Through - MK Vocal Edit,2DyzYki95bDbkVNczAcQtz,Storm Queen,0DgsuiMZylmPOYkrVOqNYQ,Look Right Through (MK Vocal Edit),0Per6mmtf5vym8ivbrQPVi,58,https://p.scdn.co/mp3-preview/cb7fc17517adfc689bb463a16f58145b9b621225?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Jenny from the Block - Track Masters Remix,0vYMzeTmfbnrAhGPRcJqVP,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,This Is Me...Then,0yrEC0zQQa0Gf8PfqnOYsp,7,not available
43,Crazy Love,6HfooVSTxGJAMSl2KMrmCV,MJ Cole,49GY4uPAwdlk5lSGtfKWYl,Sincere,6TrlS4jRRt83HYjUKHcNMd,7,not available
44,My Love,7LIKB7mzky7NjDUlag95Fu,Kele Le Roc,6147A0TM1JrrEkin51nwnD,MTV Base Garage Anthems,4GJ242OHkZijR8CSkvc4K9,43,not available
45,Mo Money Mo Problems - 2014 Remaster,4INDiWSKvqSKDEu7mh8HFz,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Life After Death (2014 Remastered Edition),7dRdaGSxgcBdJnrOviQRuB,74,https://p.scdn.co/mp3-preview/0260fcbb89863c7da1358ce217fe20dc5b8416e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Garage Girls - Sunship Radio Edit,4P5Rntc1SI0IGeqlrWJQCq,Lonyo,7ggOyf2aSSBXOS8RTvy9Mz,Garage Girls,1fL1Un5OtmTDzL8jWOfy0M,49,https://p.scdn.co/mp3-preview/f7e4874bb0759eef85875ce648a7528b3ce188fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Turn Me On,0BBOLOV5JntPL3341swIre,Kevin Lyttle,1GaBsp1ICIp1e6udgE7fba,Kevin Lyttle (US Domestic release),0OWwtYwEZFMquSeHGNv3cw,65,https://p.scdn.co/mp3-preview/25983983d1f5c1da2bee20e2e828789859f532b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Why,2yRYI0OVKjfHm1586P0BJO,Glamma Kid,5af1NCuQPqXvilvvum6tub,Blackmarket presents 2 Step - Volume 2,4b5Md63obUODg2wcUlVhT9,43,https://p.scdn.co/mp3-preview/729f5b0cb7dbe398a3245102389078efe5298b49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Beautiful Girls - Radio Edit,4Tf94tAHtlQxjbeeyU3y7C,Sean Kingston,6S0dmVVn4udvppDhZIWxCr,Beautiful Girls,3xNkswNSrzwSAIb6qleRrA,55,https://p.scdn.co/mp3-preview/ee6cd43c4a5fc2ddad6529a7425434a42151232b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,It Wasn't Me,0ec2YqaLnasKAES0iWMmhy,Shaggy,5EvFsr3kj42KNv97ZEnqij,The Boombastic Collection - Best Of Shaggy (International Version),0JFoLERkkPF0TMg5XnMjDs,55,not available
51,Be Faithful,29TJpH7vOyURlvEVVTMXwq,Fatman Scoop,15GGbJKqC6w0VYyAJtjej6,Be Faithful,2Ew6w2SF3LOson2mDYpOif,31,not available
52,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",5PMKzsUsTpZZGsCcJBuhP2,Donell Jones,5KNqYrivNgVCHBssEUSu5B,Where I Wanna Be,01riz9JMpPdL99fYhoZaph,61,https://p.scdn.co/mp3-preview/c56fbcc782e2c65a0a82f991a2d91afca34b2c57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,"Jumpin', Jumpin'",4pmc2AxSEq6g7hPVlJCPyP,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,The Writing's On The Wall,283NWqNsCA9GwVHrJk59CG,72,https://p.scdn.co/mp3-preview/900921fe7ea36b001edc1c21f146c4732ff43032?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Return of the Mack,3jDdpx9PMlfMBS5tOBHFm9,Mark Morrison,6V3F8MZrOKdT9fU686ybE9,Return Of The Mack,6plavTFCGXv5vpy0jZVtOV,73,https://p.scdn.co/mp3-preview/77bbf1e3bc27bfe6339579f71fc0b612391aa5e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Imagine - Asylum Remix,0tHr952isDUWtoYBa68RUb,Shola Ama,1XCorAp4vtEceWjPgyiiw6,Garage Nation,1A8TZkInJCQCUsyOxPsC1W,3,not available
56,"One, Two Step (feat. Missy Elliott)",59OZXaIPW4QHMmJcoSZYpC,Ciara,2NdeV5rLm47xAvogXrYhJX,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,1,not available
57,All I Want,40FFyvBiecWpeKjXHgCRsr,Mis-Teeq,6csA2rxNLkQJXeEa7lyGXn,Lickin' On Both Sides,5TMQsvBUkHGxOEnPEVPrj3,39,https://p.scdn.co/mp3-preview/1b26f501c5e1d8aaded33077b1c1cf58f403ff44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,"Independent Women, Pt. 1 - #1's Edit",2lvbX38f7BFP8AIWB9VyRu,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,1,not available
59,Murder She Wrote,280GUUkqaTBa12SCpQdlip,Chaka Demus & Pliers,6RQkaOWddQmiLLJqSgnTbm,Tease Me,3MvOWcHQP67OGTJvr9TPFi,7,not available
60,A Little Bit of Luck,3stQUVyIkVtY7KbU8OGnEN,DJ Luck & MC Neat,4MflsXABg2VC9Powgd7JCF,A Little Bit Of Luck,2lnitRC7G6edIjewfydk2U,56,https://p.scdn.co/mp3-preview/d91edf8ccca3261f2cbd3edd5a289f80deb42b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,No Diggity,0AvV49z4EPz5ocYN7eKGAK,Blackstreet,2P3cjUru4H3fhSXXNxE9kA,Another Level,6nUnNpoLKWpb9qxhYiT98S,19,not available
62,Hate That I Love You,4789yoeBIsBi6et3z0fyly,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad: Reloaded,1G2ZRwcqN6warfakvcPgEs,12,not available
63,Where Is The Love?,7oPnZNl1acGA7ELxsNirrR,The Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,Elephunk,2Yx0X8CYJD0G2pvJYZcTxt,64,not available
64,Kiss Kiss (feat. T-Pain),4CweuuMMzi71pO0MSRgyaT,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Kiss Kiss (feat. T-Pain),0dL2qQHuzOsAagnhlRq53v,9,not available
65,My Boo,68vgtRHr7iZHpzGpon6Jlo,Usher,23zg3TcAtWQy7J6upgbUnj,Confessions (Expanded Edition),1RM6MGv6bcl6NrAG8PGoZk,77,https://p.scdn.co/mp3-preview/132214d772dfacb85b3ed27bafc366b526c5da49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,"Bills, Bills, Bills",1Oi2zpmL81Q0yScF1zxaC0,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,The Writing's On The Wall,283NWqNsCA9GwVHrJk59CG,66,https://p.scdn.co/mp3-preview/5947a78d5f8dbf6cd776b9fef4aedda4c406f8ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Like Glue,6pbCkvCENw0suVGr4Ckkae,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Dutty Rock,3nAwSh2fcp3M8voQKZS2as,62,https://p.scdn.co/mp3-preview/60b3239394de896716595455b9f65acbda1aab7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Doo Wop (That Thing),0uEp9E98JB5awlA084uaIg,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,1BZoqf8Zje5nGdwZhOjAtD,74,https://p.scdn.co/mp3-preview/e2d527c9652362bed26e25392e9456966f5eb620?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Frontin' (feat. Jay-Z) - Club Mix,0iFOG4Ki9aDmJUYUFHQlPG,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,The Neptunes Present... Clones,0AO5ibcO686oWXf96D83pM,67,https://p.scdn.co/mp3-preview/7b445bfd4eb9600d10bb0995d42d3d225e54ee37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Rock Wit U (Awww Baby),6pWzCKTrKrwbUPzY8RLCoP,Ashanti,5rkVyNGXEgeUqKkB5ccK83,Chapter II,4vjeaWsf9UH2ecdKXAZaq2,65,not available
71,The Boy Is Mine,6sHsXIJoEN5JpdkGMQDJxt,Brandy,05oH07COxkXKIMt6mIPRee,Never Say Never,1Co6e9ag1gRKcWdG7xKcCi,68,https://p.scdn.co/mp3-preview/2088d99205c4e8386d3de07cb6ce257caa430766?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Temperature,0k2GOhqsrxDTAbFFSdNJjT,Sean Paul,3Isy6kedDrgPYoTS1dazA9,The Trinity,32Bu3ETQhR1PFCj3ndDlYf,76,https://p.scdn.co/mp3-preview/c1ee0ed6fce41fc3ab320cbacdbfcffd197af3a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Family Affair,3fYmEIBNpvPZTCrrHPhrCK,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,Reflections - A Retrospective,0FIbNt9exRxDm6ANemuKBC,7,not available
74,The Way I Are,5J7iGuzi7Nj8SGvt0TAVzK,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ,Shock Value Deluxe Version (International Version),2nbVfJlA3nGuaYPuMjq2sv,18,not available
75,Let's Get Married - ReMarqable Remix,0ORQ2L5bsBcGH9a5mJp1DX,Jagged Edge,7Aq8lpLMSt1Zxu56pe9bmp,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,1,not available
76,Why? - UK Garage MC Radio Edit,1dHLyXaqQDLxH4IyZ3NgdN,Mis-Teeq,6csA2rxNLkQJXeEa7lyGXn,Lickin' On Both Sides,5TMQsvBUkHGxOEnPEVPrj3,48,https://p.scdn.co/mp3-preview/f21c20eddc109a0351796c800e21e6bac357c79e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Fantasy - Bad Boy Fantasy,0nknDCcG0tZQuoVpRL7Bfj,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,2,not available
78,Pony,3gM8jkNVAeZax2boZhMhcx,Ginuwine,7r8RF1tN2A4CiGEplkp1oP,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,1,not available
79,Promiscuous,7cUhxtLxcNZXV6Qdpi8PTO,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,The Best of Nelly Furtado (International Version),2vCWHXLetotBI8ETx7TICg,9,not available
80,Perfect Gentleman,7bVeIwMoakhx9SzB0NMn98,Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe,Greatest Hits,4Ip2M1LyOpNT4JDxZnc6u3,54,https://p.scdn.co/mp3-preview/cd0a97b093a789934899b764de6fd3224dee16cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Get Busy,5qTvkDrSfvwDv6RBjjcfQr,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Dutty Rock,3nAwSh2fcp3M8voQKZS2as,72,https://p.scdn.co/mp3-preview/9852d037d90d8059d97546917af1ead2f7393321?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Tipsy - Radio Mix,2lVDc57IMK6nypg2iuEWVR,J-Kwon,1Zz5UxfKSSqc6hpa3xJPCw,Tipsy,5Woeg9DhPiMTP0MwKRqT0t,65,https://p.scdn.co/mp3-preview/567c97a8094481bcf5d94e80ba9f1b974502f8a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Summer Of Love - Radio Edit,1bmnlM7k7q1E8kO4SSrZBn,Lonyo,7ggOyf2aSSBXOS8RTvy9Mz,Summer Of Love,2ZEP1ais9sYt1SRPnra8U1,43,https://p.scdn.co/mp3-preview/daec1b0ab406eabc25317a677057ef668a6213e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Smack That,3qKGvSu1inEZKwYQnMavNA,Akon,0z4gvV4rjIZ9wHck67ucSV,Konvicted,13C2pc5O7ofZKd4p2VYO3S,74,not available
85,Tell Me It's Real - Club Asylum Steppers Mix,7qvjI9Mo0KQTGz6NB0ZLYQ,K-Ci & JoJo,05RZIdfz59ZW2FvFuwnmNK,X,48JsbOoVdwVMARvLKoYZYY,45,not available
86,I Need a Girl (Pt. One) (feat. Usher & Loon),7lVNTXkI3cHFvcXiI8damb,Diddy,59wfkuBoNyhDMQGCljbUbA,R&B Hits,5Bp5PZqYJ9tiz0Hf6lOD5Q,65,https://p.scdn.co/mp3-preview/51009fab8f1b1bbf2a06f9736fb7758c00f4dce3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Let Me Blow Ya Mind,6uCz1XUwDrrq5xJUTORmIb,Eve,4d3yvTptO48nOYTPBcPFZC,Eve-Olution [International Version (Explicit)],2v4I1FfOGJUxeZjlDtOVJ6,2,not available
88,Masterblaster 2000 - Original Mix,0kvKNrIyDP9ScCw2Jo16bK,DJ Luck & MC Neat,4MflsXABg2VC9Powgd7JCF,Masterblaster 2000,54DrfxFAuA9fdGus2bMWBu,47,https://p.scdn.co/mp3-preview/053183c00c36d3e0a420f06fabf3d9c46c85d841?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,"Never Leave You (Uh Oooh, Uh Oooh)",1AjQE5MtP5jHQMyDepbvLI,Lumidee,1IO0GVa1xjkFMXsg66FiE9,Almost Famous,6rqhiXmQNt6YmuavJhCVNv,59,not available
90,Foolish,6zMUIb4uce1CzpbjR3vMdN,Ashanti,5rkVyNGXEgeUqKkB5ccK83,Ashanti,5M3BrdaT0TV5SsYsM5PM8X,72,not available
91,Yeah! (feat. Lil Jon & Ludacris),2w9Nu1hgsBRlcgiRGXucgA,Usher,23zg3TcAtWQy7J6upgbUnj,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,1,not available
92,White Noise,3nOMGGeQppHhfrkQ65VLVQ,Disclosure,6nS5roXSAGhTGr34W6n7Et,White Noise,1c1OQBsCs2F4kRY8CXauuo,63,not available
93,Gimme the Light,3SCVtAJq8li6HlKfM4M08u,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Dutty Rock,3nAwSh2fcp3M8voQKZS2as,59,https://p.scdn.co/mp3-preview/7ecd260b83dd1f3233762cf3724079910b179523?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Hot In Herre,5FLctoy4mpCxLJ1QPneTOV,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Nellyville,1kh5XByhI0DDWV7m9kddr0,57,not available
95,Who's That Girl?,5hALSggfcyvBNLUHY8pvZd,Eve,4d3yvTptO48nOYTPBcPFZC,Scorpion,2epkTConsXtPOHY9QhvqeR,54,not available
96,Trick Me,3aImJnJlAgcE7bJ1NxthGt,Kelis,0IF46mUS8NXjgHabxk2MCM,Tasty,7zesXMFikT4DdgkklIk3Jz,62,not available
97,Girlfriend,5TxdQaqp2Xn9IBTlfq26l7,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,Celebrity,7gfXFkA259SkaFeJxSFtKE,53,https://p.scdn.co/mp3-preview/87e57f7a86151ee79e9cfa8435cf242f4e355d15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Work It,3jagJCUbdqhDSPuxP8cAqF,Missy Elliott,2wIVse2owClT7go1WT98tk,Under Construction,6DeU398qrJ1bLuryetSmup,72,https://p.scdn.co/mp3-preview/a007b4cabe8441d6d878da45bc3b71471848101e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,2yr2HnFYl7XvqJk4fXoQBt,Mario Winans,4BIQA9vRkqXEnA2twmq7mU,Bad Boy 20th Anniversary Box Set Edition,52TqKxbJkOBsbjKxlKgLwu,69,https://p.scdn.co/mp3-preview/d7c72dafb92eb2e4a6240fb979450213607fc93b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
