Teen Party,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Shameless,3UYiU57SMiAS5LqolhHJw1,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Shameless,2h1p1JzjT9rLJFAFrIkyrm,87,https://p.scdn.co/mp3-preview/ecbe1041a69343d4ec849876b8f3b2aa71b332a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
23,Teeth,1JRK7srBWUtAW7dPabKBwJ,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Teeth,6JdZip7wqJcGYtYDnzpp8T,87,not available
24,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,84,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Feel Up,4lTLA56cAilcRXpZWCWyS2,Pia Mia,1BhWF9W2PngtPSyobKg0rP,Feel Up,5LACQrcCig2eYAbJFB8cTS,70,https://p.scdn.co/mp3-preview/296d1bafb9d1d568a3777b675f3fc949899e1637?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Graduation (with Juice WRLD),6cjSh516BbrNUs213jDAGm,benny blanco,5CiGnKThu5ctn9pBxv7DGa,Graduation (with Juice WRLD),669dgT2kmrAMrrPaEEHWyE,83,not available
27,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,246dkjvS1zLTtiykXe5h60,Goodbyes (Feat. Young Thug),4FFBjcmX06VmazABtpRMyv,89,not available
28,NEVER GONNA LIKE YOU,5lzp3WgXCd94gI7cQaQ9bQ,Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,NEVER GONNA LIKE YOU,0TjCBvNrdzsmj7EhQsEYik,69,not available
29,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
30,God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,God Is A Dancer (with Mabel),2T0NPRcdhIt71ifDWm328R,80,not available
31,Motivation,0rIAC4PXANcKmitJfoqmVm,Normani,2cWZOOzeOm4WmBJRnD5R7I,Motivation,2r6BEK0wzXbL8JHyCkeJkG,90,https://p.scdn.co/mp3-preview/f6877dfe11a1c9ea4731947219a956cd18c6a7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,90,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Saint-Tropez,7C39RtGhnEw7cyf0Pyw7PV,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,85,not available
35,lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”,5ti3e5tqEwtpTk7tcBuXcM,Lauv,5JZ7CnR6gTvEMKX4g70Amv,lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”),0FBHKpuN4KpUJmxfn6hqzE,61,https://p.scdn.co/mp3-preview/26af59442d0d4142ae7c9a3224d932054715853e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Takeaway,6wo37KVqFJhtuxPTpLCcfe,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,World War Joy...Takeaway,1JawI0XkEwmQ5Bwef3RMbq,92,https://p.scdn.co/mp3-preview/d6acd39ff853fe8d1fd60603143c60eda0f7f672?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Call You Mine,05CwHjIk71RXVU40boRMnR,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,World War Joy,1ONuDpN0a3zhCUyKCgtuzK,73,not available
38,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw,86,not available
39,Lalala,07rmSXN6vNoquX1AsWd9pP,Y2K,6USMTwO0MNDnKte5a5h0xx,Lalala,4kjRJxs1i8m3mv8bI0o8OP,57,not available
40,Indigo,1sOr5OXjbukTzBDgmvd6Fa,88rising,1AhjOkOLkbHUfcHDSErXQs,Indigo,3Y3CwwjIi03RRyJohYzKXh,79,https://p.scdn.co/mp3-preview/92303f27f212f7cf4abaadd75a187576b5947869?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Only Human,0DiDStADDVh3SvAsoJAFMk,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Happiness Begins,1Uf67JAtkVWfdydzFFqNF2,87,not available
42,Good As Hell,6uAm7pG66O1XesXS9bpHSF,Lizzo,56oDRnqbIiwx4mymNEv7dS,Good As Hell,5PMpdvn38HScK6IuLniRep,75,not available
43,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"Don't Forget About Me, Demos",1DNx0H5ZX1ax3yyRwtgT4S,89,https://p.scdn.co/mp3-preview/4541d9fdce0a1a70103690863356bee8ca05d02b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Good Thing (with Kehlani),3wpdeV1FZfiEnelZSfAFp4,80,not available
45,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid),3E12WU80fDMyu7GyIAx7wJ,94,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,Taylor Swift,06HL4z0CvFAxyc27GXpf02,You Need To Calm Down,21dd5QyItuoqvPkViQXlKf,81,not available
47,I Warned Myself,3707IBa4HnS3zDDoWfeUBl,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,I Warned Myself,3TDyDrYb9qx7DtGWXqvLfW,82,https://p.scdn.co/mp3-preview/b4185f469a9b8997d96e5835320cdb91fe89d724?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,I'm Not Alright,2IijYlF3sd90T4FD9HiIiy,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,I'm Not Alright,5Ld1qcME3OYJ1DIihnwche,60,not available
49,Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Find U Again (feat. Camila Cabello),1GySemCUsaTUREhIPAF3hH,80,https://p.scdn.co/mp3-preview/80c0b6e9248e7c684425557e497ea30764c4e9d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,86,not available
