Flow Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Narcolepsia,6tnl0gz73FCRz2kzWwdUUq,fernandocosta,5dC7EcwWdf9Qj4VvJab4rZ,Yipiyou,7euTtDGIoACenU5iWH6tr2,62,https://p.scdn.co/mp3-preview/16f4e95615e2551d77859227fda260d69b8ce0d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,El Patrón,2AJE7bubR0uhLhEXhgyerM,Grind,7zRP76y8bnV3OdkaraLHuy,El Patrón,4fjrmQ6vZ6Ic5a6vJEqOmo,54,https://p.scdn.co/mp3-preview/facabe7cfb8638ccf7993fba38f2ae19052862b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Talismán,0NKqXgMgGMR3h85yHLwM16,Blake,2FwMmxiCWQhEyO9k0nOyNF,Talismán,2Pv99nTloiiqRLCKZLH3Oi,49,https://p.scdn.co/mp3-preview/9439aad96faf165fc67959f0c34281a3e6cd24d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Bicho raro,4MonThJItfsXWPFIvAT5EX,Natos y Waor,1QJbbsxg2wqidJj51d3otw,Cicatrices,1lASvFkra4rNUh4QNZS0u1,61,https://p.scdn.co/mp3-preview/dd1b475e5916e171e9e33f1ab97703a96e6c7d7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Cae la Noche,5o7b90Y6y5kSrB15Tbjnip,Hard GZ,79N4S7UXdjo2fAh3OHJQuB,Kaos Nomada,7csdaoIY5ybqyXJ52NP8Mu,59,https://p.scdn.co/mp3-preview/cf968591c4e424bd159bd8bc8f23978bb4519c53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Welcome,37KLoLkhcJMe7Odsstah0V,Nikone,105iYV1T7lf8Rysxo0KzfD,Patato,4gJBXdGhYA1piaLYhYpZR9,59,https://p.scdn.co/mp3-preview/a6580384d942ef7577de59cf1edf217bc21523be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Agua Pasá,4QXiKcZwVr6MmgBXjsdGdU,SFDK,56n1NeXsTOOxjX3Z4lVMTJ,Redención (Versión Exclusiva Spotify),76OGgAqBIqPV2ChgwZOwHc,61,https://p.scdn.co/mp3-preview/0b33eeb03b45d604565aa27d82ad13ca173971e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Cicatrices,7cVPzL9iPXkMaHb8NvwvR3,Natos y Waor,1QJbbsxg2wqidJj51d3otw,Cicatrices,2r7uyJrmDdQ3DwX0EzSfYm,49,https://p.scdn.co/mp3-preview/a268b2c54cbf90dd5e62a5a8627d3a474965e4f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Modo Turbio,0prUbzY7PrJujuukMXCWbB,Kaze,2X11x8C63wCzAf1WwsIuLg,Modo Turbio,5A41V8bQkz4fQEfRnMZQ0C,61,https://p.scdn.co/mp3-preview/a89d5eacf942223523dd56cc28714ba4b5f6d242?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Fresas con nata,48sq0JdNEbXhQTdAorTzC9,Ayax y Prok,5Ypafuz95Xk09YDf4tgAvU,Fresas con nata,0Hw5CJOy7m2JMd9vjCaTVr,62,https://p.scdn.co/mp3-preview/530638564a95a26c6cf07647d0dec69639c31e05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Peaky Blinders,716fMI8JLXLxoowAlN8xvU,Matasvandals,77WwIwmDkRo6Frks1A89KM,Peaky Blinders,1RlxZk1nWiINZ4TUwyoXWh,50,https://p.scdn.co/mp3-preview/f755a7ce5f711c3befa639a22cb6ab1a8191c979?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Ícaro,2pDiIaYuiCtRtV3vIIXQMW,Natos y Waor,1QJbbsxg2wqidJj51d3otw,Ícaro,0EqjDYEDbN362F3gpwibLu,56,https://p.scdn.co/mp3-preview/b1ec8bad914be205e32a5a85ca6d2bed200a7296?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,El Callejón,67QjQIsvJiXRISvkrOi84e,Delaossa,5Uox3n7m4W2CoM9MmHPJwQ,El Callejón,1GEpYP1NWnW200wYHtWmJc,51,https://p.scdn.co/mp3-preview/e3c83509277296a867a52695dd5fe18f885e2b83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Ansiedad y recuerdos (feat. Prok),2xfyNgTzByyuTok5bNNkgH,Denom,0fwnNjAay5ZHP5bAd63g8Y,Ansiedad y recuerdos (feat. Prok),2HI6C1nvPJBx5DZLEbI5XJ,57,https://p.scdn.co/mp3-preview/f60624391177cdd1ff7bed10786ef54776f41a4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Buenos Genes,5I2I0xdHPV5opTDQbItBIb,Rels B,2IMZYfNi21MGqxopj9fWx8,Flakk Daniel's Lp,71YB0UNuZJkxNI6UM8t8f7,74,https://p.scdn.co/mp3-preview/a9d1956acf4c2e1a423f0cfd77ac90d5a1eae1b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ese cosquilleo,6Zcyvk9QmBpdyk93LmsqzL,Ayax y Prok,5Ypafuz95Xk09YDf4tgAvU,Cara y cruz,1SJl8bi5QERhup9p5yDx1X,58,https://p.scdn.co/mp3-preview/974f834c2beadb87a0daf10f63a3674a73cc26e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,La manzana,6bEFEsoobXoU2ZlgmDiBw9,AMBKOR,5iQNy7hQGe1suvNOQz19Jz,La manzana,3y6uPDAoJwcwSq4cxHanaa,49,https://p.scdn.co/mp3-preview/28b288e77176197dc35fc6ccca5ef900cfd61ed5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Déjame volar,3MJ8NEQhYWbXJdveRbqMYV,Denom,0fwnNjAay5ZHP5bAd63g8Y,Déjame volar,5n3GrE6KBASQ2gy7frAng6,47,https://p.scdn.co/mp3-preview/9fc5378c365f3aa32720fa946117492b654d31c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Public Enemy,59M4hG1RAcr13QRSrgyXkL,Arce,7eH1UUCyxL8Wf9PztvvPJ6,Public Enemy,3y877d70JvWBQ2yNxQg5Et,48,https://p.scdn.co/mp3-preview/f906fb1b30d3aeec035b808db51023f47ce610bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Caminaré,3NTUGxmDIRf40iS5gZOhBu,Natos y Waor,1QJbbsxg2wqidJj51d3otw,Caminaré,7dzI5Rx5CyYqI7eo1qTukz,55,https://p.scdn.co/mp3-preview/3e3b4d9b27f5a40f64213fa8abe4bee2e5e085ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Jaque Mate (feat. Denom),2Y7PAgsRVLv6t7v1ekZt3y,Arce,7eH1UUCyxL8Wf9PztvvPJ6,Jaque Mate (feat. Denom),4VvFPz68FfVGDbyUPgblhb,47,https://p.scdn.co/mp3-preview/65d8a45fba1d75fbcade002e1ab4a6f12de4f505?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,"A veces se me pasa, a veces paso",1Xet933o3e612B2HPY63pV,Ayax y Prok,5Ypafuz95Xk09YDf4tgAvU,Cara y cruz,1SJl8bi5QERhup9p5yDx1X,59,https://p.scdn.co/mp3-preview/581140fb56bf6def6379033411b4a7071cd25e82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Black Roses,49QjsbpAXOWQqqfAvNDRes,Shoda Monkas,3K3u27hhXRoHojEeDHXLAe,Black Roses,6WvlAkDPnY1Ey0GE1RrdwE,46,https://p.scdn.co/mp3-preview/91ac8b7a6ed78642cf2e80b399814aa0c9cb816b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Flawless,2PraZkDWiOJhTcc6viJrrV,Natos y Waor,1QJbbsxg2wqidJj51d3otw,Flawless,6jyS8ZIZoFgNBaaVeAUxAQ,58,https://p.scdn.co/mp3-preview/d2ecf629c9ab555a0738cc2d8c497ca77361c770?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Rap,0q156LgpKx3UmWBGCFKwDb,Kaze,2X11x8C63wCzAf1WwsIuLg,No Encajes,0wCIMjyQo1SllnMiBm5uxX,54,https://p.scdn.co/mp3-preview/879d817bac77065d52fc44c7da2137d422f6456d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Love,3wm27SCXXbKtLVv1B6JLFN,Hard GZ,79N4S7UXdjo2fAh3OHJQuB,Versus,60SJoCkqzuRJAziGJuJQmX,56,https://p.scdn.co/mp3-preview/f37a2fe93b1541c8c342b65ec3ffdab3f3abe498?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Flores de Papel,6HhF5ts0GfNSUMbWExksaV,Matasvandals,77WwIwmDkRo6Frks1A89KM,Flores de Papel,4foKxPaX5fZWtpwR8ppmav,49,https://p.scdn.co/mp3-preview/cf8bf29df4e7cccbc8134f374fee30c9ee976cd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Desobey,6wyFo8KqS313ICu5KeYwjh,Matasvandals,77WwIwmDkRo6Frks1A89KM,Essentia Vol 3,3CJ5Tpqx23TkEe5gOC9k8m,47,https://p.scdn.co/mp3-preview/c8d83c1bfc348d69c813fa05b95c3e7d90caeb4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Estrellas de Barrio,1bzUJcESKHB37KuzSitEMY,Matasvandals,77WwIwmDkRo6Frks1A89KM,Estrellas de Barrio,1JsBnlSppduawkBPl085PC,42,https://p.scdn.co/mp3-preview/7f84cd8b613bbedcb0d695cebde0def2abad9100?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Pedigrí,7192IxOpMZ3mDudqB1qDcg,Arce,7eH1UUCyxL8Wf9PztvvPJ6,Pedigrí,7lxviMncjiDoDP7LJpti0M,44,https://p.scdn.co/mp3-preview/cd3150f315d60063a26622c1d0cf49b482218c34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Presente,1e0rUmTdIBW3I0eUHY3yuy,AMBKOR,5iQNy7hQGe1suvNOQz19Jz,Presente,7crC6eAxMDZwigSUxdtmxb,52,https://p.scdn.co/mp3-preview/b7229963cbd2e97f10839ea644640bf7fe139935?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Boxer,12U6ojhImTwUL278hR6Vyo,Arce,7eH1UUCyxL8Wf9PztvvPJ6,Boxer,05WyvANaxot0Ia9wwXx14R,46,https://p.scdn.co/mp3-preview/bbaa7c7c731e0ea1cbf109581bacf6121970f6aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Te Fuiste,2DGEHQDBvkqXSuEttaEyJa,Blake,2FwMmxiCWQhEyO9k0nOyNF,Te Fuiste,4tTlsffwu9pIxCkbDPkFSe,48,https://p.scdn.co/mp3-preview/218a76ae14fb2a727e8d710a44c867ea1e7a6b82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Da Vinci,0R8jT6yhr9S7J649gc8i21,Ayax y Prok,5Ypafuz95Xk09YDf4tgAvU,Da Vinci,2uWzNpT1i360p0TLYG6YPK,53,https://p.scdn.co/mp3-preview/803ec18763fdfc9905faaa84055defb79a3bb09e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Dime Dónde Voy,1oUqsz6cDgmhnGZM5HNFVo,Blake,2FwMmxiCWQhEyO9k0nOyNF,Dime Dónde Voy,4TDsxP0D9FsM4CGD0RAdOx,46,https://p.scdn.co/mp3-preview/bca56c79a9e0f2f11df2736248bd23b3a616edf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Encontré Mi Norte,6yAN15I3x1sWjQwGS3iOX8,Akaise,44uF83ux2e8BpNR343Ss7T,Encontré Mi Norte,2cyocl1keiVKzaRnuzf9UH,28,https://p.scdn.co/mp3-preview/1cbdba8ef5eb9499d6403ac09b4d6384d54eacf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Gran Show,2YRqK97POY6QfDAXlSdHqi,Blake,2FwMmxiCWQhEyO9k0nOyNF,Gran Show,3TMPf34yGESNOYc3jFLfuQ,52,https://p.scdn.co/mp3-preview/3f232edebe1f3341f1585ba7c510f806fe84c230?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Ganguero 2,4JXmEAMtIvWaqGa7kBOYCO,Lopes,2C1KWrmE57M3riWQArK4kz,Ganguero 2,3TaXrUPDL5kAxlwBnUDRes,14,https://p.scdn.co/mp3-preview/c681ab639cfe87286ef630a1e570fad230d16849?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Penita Pena,5kHg4jHBVCUJVXjgmxIT1h,Blake,2FwMmxiCWQhEyO9k0nOyNF,Penita Pena,5ajlPH3AtR1VaukwZ8BOae,50,https://p.scdn.co/mp3-preview/14f21a01a6ccea9b6d3a6fbd68062cd9dca9d7ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Mal Genio,1xtEbwlESK4N3dSD8LjSDc,Zetazen,66BpLv7bc0OLbr50D1cnGS,Mal Genio,4JiwLPmLFRKRsjIJ6UB3Df,52,https://p.scdn.co/mp3-preview/8426fde68936b0a99f5c9329350bfbff074d3023?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Mátame,6y0szoEjleEGuBE32g5MPD,Elkhoa,1R0xNAeDzhcY6jesvVyPrk,Mátame,6AgILTQCob6VMKO6NuKbto,38,https://p.scdn.co/mp3-preview/1bdec0dc3d6b43edf460e8c036dbd43f1dcd450e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
